groupid,name,estimate0,estimate1,estimate,lower,upper,prob1,prob2
13,san_diego,0.4154419149473536,0.41895373980856354,0.0037717586750919962,-0.013968136713354897,0.02211012111726459,0.352,0.704
13,san_francisco,0.537089544123661,0.547803348478245,0.010624179711231363,-0.013711444800026317,0.034620850096396566,0.202,0.404
13,san_jose,0.36026157633065115,0.36311288663446895,0.0023216612181051477,-0.017268570869441894,0.0235217266435918,0.401,0.802
13,seattle,0.599173921551927,0.6096621390991025,0.0107213920556114,-0.016727320063099814,0.034864343986116875,0.221,0.442
14,austin,0.6665511965626729,0.6906169983208693,0.02395197317336184,0.004495608584607223,0.04461874149014687,0.013,0.026
14,boston,0.578553533508269,0.5932233008013736,0.014593834845670728,-0.010851676251412477,0.03948052677985076,0.125,0.25
14,charlotte,0.4152789084236419,0.427507731211745,0.012208950665958118,-0.010297991410326052,0.03415365180482961,0.139,0.278
14,chicago,0.3794076363321439,0.4200545894735183,0.04096023471813226,0.02983887152341788,0.05227023679446096,0,0
14,columbus,0.5902141390013225,0.622249567052853,0.03194490846845205,0.011756151157230907,0.05317966056355587,0,0
14,dallas,0.37402474819706344,0.38601575673225486,0.011641759071245122,-0.004770402363298225,0.027868144688798828,0.08,0.16
14,dc,0.655455266377815,0.6582044686119015,0.0034859017987611263,-0.01978132964911632,0.025391490882699024,0.388,0.776
14,denver,0.5473265579461483,0.5783600109194558,0.03106825488474213,0.005620727807287485,0.058695452287474074,0.009,0.018
14,el_paso,0.3205114097635511,0.33886282886685537,0.018302693219156507,-0.007983678809764545,0.04423888786063018,0.092,0.184
14,fort_worth,0.3827253955244264,0.4013217489594392,0.01882256013705358,-0.003451734888594508,0.03903707276207834,0.049,0.098
14,houston,0.4546837410745593,0.46043390034306625,0.00587808398932374,-0.005440773343790045,0.01690003039349041,0.145,0.29
14,indianapolis,0.5293834039949041,0.5555616789775647,0.025725879484803538,0.0032889362374012997,0.04764936721759844,0.012,0.024
14,jacksonville,0.4853930589953199,0.5095307722578195,0.024270938630991168,5.612429603831617e-4,0.04705530256089816,0.023,0.046
14,la,0.3236939565266237,0.3214706217432485,-0.0026379646487651176,-0.011997463728539024,0.008113395941875491,0.316,0.632
14,nashville,0.5537589404679963,0.5697381710756768,0.015595520330669743,-0.0118509090148074,0.0451267613348966,0.133,0.266
14,nyc,0.3068776664890294,0.3530469072953592,0.046049917249254724,0.0392057682801342,0.05346444042644292,0,0
14,oklahoma,0.4873829514460026,0.4935789964347522,0.0064486118804786274,-0.016190206551193704,0.026718248420845418,0.299,0.598
14,philadelphia,0.45063857031870147,0.4864124418388047,0.03587030493602364,0.018207088559575844,0.05489170491615732,0,0
14,phoenix,0.39602558935712723,0.42993772590393164,0.0338553545764729,0.01833870883295238,0.05099808624256832,0,0
14,portland,0.5381250718579293,0.5501301717704634,0.012210939660748432,-0.014356816693268168,0.03922644877783948,0.185,0.37
14,san_antonio,0.3847885507639617,0.41081634337608974,0.026570421539756,0.007881758559787618,0.044602123755837914,0.002,0.004
14,san_diego,0.41545254107616425,0.42263351625373313,0.0072293948421696674,-0.011640693017472949,0.023386296007231126,0.224,0.448
14,san_francisco,0.536856060352108,0.5455049110467969,0.009018922719339628,-0.01652071057203428,0.034134482790835176,0.222,0.444
14,san_jose,0.3605463673654402,0.3750148886023532,0.01421350089657658,-0.006386650391599753,0.03554674352147821,0.086,0.172
14,seattle,0.6000917796720293,0.6246585445827463,0.024498584032383253,6.456575705482084e-4,0.04908523337700257,0.024,0.048
15,austin,0.6664266386731722,0.6669283183977206,2.442011471388006e-4,-0.020643170894030453,0.020597686362110866,0.491,0.982
15,boston,0.5778268147098318,0.5843711508560225,0.006528106332103267,-0.016927189289570776,0.03242776197095592,0.311,0.622
15,charlotte,0.41529861467069984,0.4274968252625877,0.01217531763489721,-0.00960430969406462,0.03262820042414323,0.133,0.266
15,chicago,0.3790645589439352,0.39734302323584136,0.018371575253960826,0.006600351427343393,0.029558541837704042,0.003,0.006
15,columbus,0.5894602678055416,0.5899084866865791,6.205478936103792e-4,-0.018713918678230246,0.02099646697576271,0.47,0.94
15,dallas,0.3742125665306679,0.3849148647587317,0.010507380191728533,-0.005907804646748859,0.028973610457624623,0.097,0.194
15,dc,0.6539789912924501,0.611739240775582,-0.04212467394058228,-0.06749170479645931,-0.017423949946077887,0,0
15,denver,0.5470075417262418,0.558444323077106,0.012008377034763373,-0.015072816187027932,0.036406950251234936,0.193,0.386
15,el_paso,0.32184876027291387,0.32353118731652564,0.0024158249711681568,-0.023121425503455462,0.02741860986919147,0.435,0.87
15,fort_worth,0.3815089301581236,0.3967915375541043,0.014646968133938676,-0.006763083176171391,0.03600552586426155,0.082,0.164
15,houston,0.45448343929457335,0.46819926829029257,0.013638801488013469,0.0017441072284849468,0.02459969620848529,0.012,0.024
15,indianapolis,0.5298703525415391,0.5338070124956114,0.004272831668077515,-0.019431323985459634,0.027533264205587837,0.357,0.714
15,jacksonville,0.48532261541667043,0.49457292167753075,0.009168702041105509,-0.015724658170272656,0.033269046209542755,0.243,0.486
15,la,0.3240086545968045,0.3145563209669267,-0.00904810337649381,-0.019347230463982724,5.294648294386319e-4,0.034,0.068
15,nashville,0.5529800677613226,0.5532538399610816,-7.823037994419968e-5,-0.028940312305851583,0.026839793987581295,0.498,0.996
15,nyc,0.30681909840443033,0.3010102365784838,-0.005866071741744638,-0.012725491062237264,0.0010321244089980673,0.053,0.106
15,oklahoma,0.48612182575860674,0.4931260294630664,0.006890007037221174,-0.015440749704881998,0.028826348197321775,0.27,0.54
15,philadelphia,0.4515010565630556,0.4574041119840019,0.00557799614410448,-0.01166311557565212,0.02439987085480501,0.249,0.498
15,phoenix,0.3958783341454893,0.41280017010662184,0.017015821728001923,4.2928005759032995e-4,0.033234884546738175,0.022,0.044
15,portland,0.5373724775865725,0.5348358325811347,-0.0032115595061235624,-0.029042701123187884,0.02458399585770794,0.411,0.822
15,san_antonio,0.38455748682534513,0.3994965979177122,0.014781331456084457,-0.0022276809540733703,0.033792553195397625,0.046,0.092
15,san_diego,0.4155620328884778,0.42193253441696577,0.006756492351811,-0.011252703425944343,0.024021618868664302,0.232,0.464
15,san_francisco,0.5364629273769896,0.5329889059568236,-0.0035230223468243893,-0.027743065792736655,0.02099827731997171,0.366,0.732
